ID_MSC,Matchin_ID_name,Laj
0,0,2
0,4,2
0,11,2
0,16,2
1,0,1
1,1,1
1,2,1
2,2,3
2,18,3
3,4,2
3,5,2
3,13,2
4,6,4
4,11,4
4,20,4
5,6,2
5,7,2
5,14,2
5,15,2
5,18,2
5,21,2
5,22,2
5,23,2
5,28,2
5,29,2
6,7,1
6,13,1
6,14,1
6,15,1
7,8,2
7,25,2
8,10,2
8,29,2
9,10,2
9,11,2
9,12,2
9,17,2
9,27,2
9,32,2
9,33,2
9,34,2
10,10,2
10,34,2
11,10,1
11,26,1
11,27,1
11,30,1
12,11,1
12,25,1
12,26,1
12,27,1
12,34,1
13,16,2
13,29,2
14,15,2
14,17,2
14,22,2
14,26,2
14,27,2
14,32,2
14,33,2
14,34,2
15,16,2
15,29,2
16,17,2
16,25,2
16,26,2
17,18,4
17,20,4
17,33,4
18,21,2
18,31,2
19,22,2
19,25,2
20,22,2
20,26,2
20,27,2
21,24,2
21,28,2
21,30,2
22,34,2
22,35,2
22,36,2